# no  word                  pos           zh                                                                                                                            example                                                    added       right  wrong  last_test   tags            sense
871   Python                n.            Python（蟒蛇語言，一種程式語言）                                                                                              I write code in Python.                                    2026-09-16  0      0      -           工程師          單義
872   Java                  n.            Java（一種程式語言）                                                                                                          The app is built with Java.                                2026-09-16  0      0      -           工程師          單義
873   JavaScript            n.            JavaScript（一種程式語言）                                                                                                    JavaScript runs in the browser.                            2026-09-16  0      0      -           工程師          單義
874   TypeScript            n.            TypeScript（一種程式語言）                                                                                                    TypeScript adds types to JavaScript.                       2026-09-16  0      0      -           工程師          單義
875   C++                   n.            C++（一種程式語言）                                                                                                           C++ is fast and powerful.                                  2026-09-16  0      0      -           工程師          單義
876   Swift                 n.            Swift（一種程式語言）                                                                                                         Swift is used for iOS apps.                                2026-09-16  0      0      -           工程師          單義
877   Kotlin                n.            Kotlin（一種程式語言）                                                                                                        Kotlin is used for Android apps.                           2026-09-16  1      0      2026-09-17  工程師          單義
878   Go                    n.            Go（一種程式語言，又稱 Golang）                                                                                               Go is simple and fast.                                     2026-09-16  0      0      -           工程師          單義
879   Rust                  n.            Rust（一種程式語言）                                                                                                          Rust focuses on memory safety.                             2026-09-16  1      0      2026-09-17  工程師          多義
880   SQL                   n.            SQL（結構化查詢語言）                                                                                                         I use SQL to query the database.                           2026-09-16  0      0      -           工程師          單義
881   HTML                  n.            HTML（網頁標記語言）                                                                                                          This page is written in HTML.                              2026-09-16  0      0      -           工程師          單義
882   CSS                   n.            CSS（網頁樣式語言）                                                                                                           CSS controls the page style.                               2026-09-16  0      0      -           工程師          單義
883   variable              n.            變數                                                                                                                          Store the value in a variable.                             2026-09-16  0      0      -           工程師          多義
884   function              n.            函式、功能                                                                                                                    This function returns a number.                            2026-09-16  0      0      -           工程師          極多義
885   array                 n.            陣列                                                                                                                          The array has five items.                                  2026-09-16  0      0      -           工程師          單義
886   string                n.            字串                                                                                                                          The string says hello.                                     2026-09-16  0      0      -           工程師          極多義
887   loop                  n./v.         迴圈                                                                                                                          The loop runs ten times.                                   2026-09-16  0      0      -           工程師          多義
888   bug                   n.            程式錯誤                                                                                                                      There is a bug in the code.                                2026-09-16  0      0      -           工程師          極多義
889   deploy                v.            部署                                                                                                                          We deploy the app every week.                              2026-09-16  0      0      -           工程師          多義
890   compile               v.            編譯                                                                                                                          Compile the code before running it.                        2026-09-16  1      0      2026-09-17  工程師          多義
891   syntax                n.            語法                                                                                                                          Check the syntax of your code.                             2026-09-16  1      0      2026-09-16  工程師          單義
892   framework             n.            框架                                                                                                                          This app uses a new framework.                             2026-09-16  1      0      2026-09-16  工程師          多義
893   client                n.            客戶端                                                                                                                        The client sends a request.                                2026-09-16  1      0      2026-09-17  工程師、職場    多義
894   exception             n.            例外、異常                                                                                                                    The program threw an exception.                            2026-09-16  0      0      -           工程師          多義
895   queue                 n.            佇列                                                                                                                          Add the task to the queue.                                 2026-09-16  0      0      -           工程師          多義
896   stack                 n.            堆疊                                                                                                                          Push the item onto the stack.                              2026-09-16  0      0      -           工程師          多義
897   cache                 n.            快取                                                                                                                          The browser saved it in the cache.                         2026-09-16  0      0      -           工程師          多義
898   repository            n.            儲存庫                                                                                                                        Push the code to the repository.                           2026-09-16  1      0      2026-09-16  工程師          單義
899   commit                v./n.         提交                                                                                                                          I commit my changes every day.                             2026-09-16  0      0      -           工程師          多義
900   merge                 v.            合併                                                                                                                          Merge the branch into main.                                2026-09-16  0      0      -           工程師          多義
901   algorithm             n.            演算法                                                                                                                        This algorithm sorts the numbers.                          2026-09-16  0      0      -           工程師          單義
902   object                n./v.         物件、物體；目標、對象；受詞（文法）；反對（動詞，v.時重音在後）                                                              Create a new object.                                       2026-09-16  1      0      2026-09-17  工程師          極多義
903   interface             n.            介面                                                                                                                          The interface defines the methods.                         2026-09-16  1      0      2026-09-16  工程師          多義
904   boolean               n./adj.       布林值                                                                                                                        The result is a boolean.                                   2026-09-16  1      0      2026-09-17  工程師          單義
905   parameter             n.            參數                                                                                                                          The function takes one parameter.                          2026-09-16  0      0      -           工程師          多義
906   argument              n.            爭吵、爭論；論點；引數（程式函式的參數）                                                                                      Pass the argument to the function.                         2026-09-16  1      0      2026-09-17  工程師          多義
907   runtime               n.            執行期                                                                                                                        The error happens at runtime.                              2026-09-16  0      0      -           工程師          單義
908   internationalization  n.            國際化                                                                                                                        Internationalization lets the app support many languages.  2026-09-16  0      0      -           工程師          單義
909   localization          n.            在地化、本地化                                                                                                                Localization adapts the app for each region.               2026-09-16  0      1      2026-09-16  工程師          單義
910   locale                n.            地區設定                                                                                                                      Set the locale to Taiwan.                                  2026-09-16  0      1      2026-09-16  工程師          單義
911   translation           n.            翻譯                                                                                                                          The translation is not accurate.                           2026-09-16  0      0      -           工程師          單義
912   Unicode               n.            統一碼（一種文字編碼標準）                                                                                                    Unicode supports many languages.                           2026-09-16  0      0      -           工程師          單義
913   encoding              n.            編碼                                                                                                                          Check the file encoding.                                   2026-09-16  1      0      2026-09-16  工程師          單義
914   timezone              n.            時區                                                                                                                          Taiwan is in a different timezone.                         2026-09-16  1      0      2026-09-16  工程師、時間    單義
915   currency              n.            貨幣                                                                                                                          Show the price in the local currency.                      2026-09-16  0      0      -           工程師          單義
916   fallback              n.            備援、回退                                                                                                                    Use English as the fallback language.                      2026-09-16  0      0      -           工程師          單義
917   character set         n. phr.       字元集                                                                                                                        UTF-8 is a common character set.                           2026-09-16  0      1      2026-09-16  工程師          單義
918   language pack         n. phr.       語言包                                                                                                                        Download the language pack.                                2026-09-16  0      0      -           工程師          單義
919   look                  v.            看、看向                                                                                                                      Look at the sky.                                           2026-09-16  1      0      2026-09-17  基礎字          極多義
920   see                   v.            看見、看到                                                                                                                    I see a bird.                                              2026-09-16  0      0      -           -               極多義
921   hear                  v.            聽到（不一定刻意）                                                                                                            I hear music.                                              2026-09-16  0      0      -           -               多義
922   large                 adj.          大的、大量的（較正式）                                                                                                        This is a large box.                                       2026-09-16  0      0      -           -               多義
923   huge                  adj.          巨大的                                                                                                                        The elephant is huge.                                      2026-09-16  1      0      2026-09-17  基礎字          單義
924   say                   v.            說（說出內容）                                                                                                                She said hello.                                            2026-09-16  1      0      2026-09-16  -               多義
925   tell                  v.            告訴（某人某事）                                                                                                              Tell me the truth.                                         2026-09-16  1      0      2026-09-16  -               多義
926   speak                 v.            說話、說（某語言）                                                                                                            I speak English.                                           2026-09-16  0      0      -           -               多義
927   talk                  v.            聊天、交談                                                                                                                    Let's talk about it.                                       2026-09-16  0      0      -           -               多義
928   error                 n.            錯誤（泛稱）                                                                                                                  There is an error in the code.                             2026-09-16  0      0      -           工程師          單義
929   SELECT                v./n.         選擇、挑選；（資料庫）查詢、選取資料                                                                                          SELECT all users from the database.                        2026-09-16  0      0      -           工程師          單義
930   insert                v.            插入、放入；（資料庫）新增一筆資料                                                                                            Insert a new row into the table.                           2026-09-16  0      0      -           工程師          單義
931   UPDATE                v./n.         更新、最新消息；（資料庫）更新資料                                                                                            UPDATE the price in the table.                             2026-09-16  0      0      -           工程師          單義
932   DELETE                v.            刪除                                                                                                                          DELETE the old record.                                     2026-09-16  0      0      -           工程師          單義
933   where                 adv./conj.    哪裡、在哪裡；（SQL）條件子句                                                                                                 Select users WHERE age is over 18.                         2026-09-16  1      0      2026-09-17  工程師          單義
934   query                 n./v.         疑問、質疑；查詢                                                                                                              I ran a query on the database.                             2026-09-16  0      0      -           工程師          多義
935   index                 n.            索引、指標、食指；（資料庫）索引                                                                                              Add an index to speed up the search.                       2026-09-16  0      0      -           工程師          極多義
936   schema                n.            綱要、架構                                                                                                                    Design the database schema first.                          2026-09-16  1      0      2026-09-16  工程師          單義
937   transaction           n.            交易；（資料庫）事務（一整組要嘛全部成功要嘛全部失敗的操作）                                                                  Wrap the updates in a transaction.                         2026-09-16  1      0      2026-09-17  工程師          單義
938   rollback              n.            回滾、復原（把狀態退回之前的樣子）                                                                                            We did a rollback after the error.                         2026-09-16  0      0      -           工程師          單義
939   constraint            n.            限制、約束條件                                                                                                                This column has a unique constraint.                       2026-09-16  0      0      -           工程師          單義
940   primary key           n. phr.       主鍵（資料表裡識別每一筆資料的唯一欄位）                                                                                      The id column is the primary key.                          2026-09-16  1      0      2026-09-17  工程師          單義
941   foreign key           n. phr.       外鍵（指向另一張表主鍵的欄位）                                                                                                The user_id is a foreign key.                              2026-09-16  1      0      2026-09-17  工程師          單義
942   meeting               n.            會議                                                                                                                          We have a meeting at ten.                                  2026-09-16  0      0      -           職場            單義
943   deadline              n.            截止日期                                                                                                                      The deadline is tomorrow.                                  2026-09-16  1      0      2026-09-17  職場            單義
944   email                 n./v.         電子郵件、寄電子郵件                                                                                                          I sent you an email.                                       2026-09-16  1      0      2026-09-17  職場            單義
945   colleague             n.            同事                                                                                                                          My colleague is kind.                                      2026-09-16  1      0      2026-09-16  職場            單義
946   project               n./v.         專案、計畫；投射                                                                                                              We finished the project.                                   2026-09-16  1      0      2026-09-17  職場            多義
947   interview             n./v.         面試、訪問                                                                                                                    I have an interview today.                                 2026-09-16  1      0      2026-09-17  職場            單義
948   resume                n./v.         履歷；恢復、繼續                                                                                                              Please send your resume.                                   2026-09-16  0      1      2026-09-17  職場            多義
949   schedule              n./v.         時程表、排程                                                                                                                  Check the schedule.                                        2026-09-16  1      0      2026-09-11  職場            單義
950   push                  v.            推；push（上傳到遠端儲存庫）                                                                                                  Push your changes to the server.                           2026-09-16  1      0      2026-09-10  工程師、git     多義
951   pull                  v.            拉；pull（從遠端下載更新）                                                                                                    Pull the latest changes.                                   2026-09-16  1      0      2026-09-10  工程師、git     極多義
952   clone                 v./n.         複製、克隆；clone（複製一份儲存庫）                                                                                           Clone the repository.                                      2026-09-16  0      0      -           工程師、git     多義
953   checkout              v.            結帳；checkout（切換分支）                                                                                                    Checkout the main branch.                                  2026-09-16  0      0      -           工程師、git     多義
954   revert                v.            恢復、還原                                                                                                                    Revert the last commit.                                    2026-09-16  0      1      2026-09-17  工程師、git     多義
955   stash                 v./n.         藏、暫存；stash（暫存修改）                                                                                                   Stash your changes for later.                              2026-09-16  0      1      2026-09-16  工程師、git     多義
956   API                   n.            應用程式介面                                                                                                                  The app uses a weather API.                                2026-09-16  0      0      -           工程師          單義
957   HTTP                  n.            超文本傳輸協定                                                                                                                The website uses HTTP.                                     2026-09-16  0      0      -           工程師          單義
958   request               n./v.         請求                                                                                                                          Send a request to the server.                              2026-09-16  0      0      -           工程師          多義
959   response              n.            回應、回覆                                                                                                                    The server sent a response.                                2026-09-16  1      0      2026-09-16  工程師          多義
960   endpoint              n.            端點（API 的一個路徑）                                                                                                        Call this API endpoint.                                    2026-09-16  0      0      -           工程師          單義
961   authentication        n.            驗證、身分驗證                                                                                                                The app needs authentication.                              2026-09-16  0      0      -           工程師          單義
962   unit test             n. phr.       單元測試                                                                                                                      Write a unit test for this function.                       2026-09-16  0      0      -           工程師          單義
963   test case             n. phr.       測試案例                                                                                                                      Add a new test case.                                       2026-09-16  1      0      2026-09-16  工程師          單義
964   assert                v.            斷言（檢查結果對不對）；主張、聲稱                                                                                            Assert that the result is true.                            2026-09-16  0      0      -           工程師          多義
965   cloudy                adj.          多雲的                                                                                                                        It is cloudy today.                                        2026-09-16  0      0      -           天氣            單義
966   foggy                 adj.          有霧的                                                                                                                        It is foggy this morning.                                  2026-09-16  0      0      -           天氣            單義
967   humid                 adj.          潮濕的                                                                                                                        It is humid in summer.                                     2026-09-16  0      1      2026-09-11  天氣            單義
968   temperature           n.            溫度、體溫                                                                                                                    Check the temperature.                                     2026-09-16  0      1      2026-09-11  天氣            單義
969   excited               adj.          興奮的                                                                                                                        I am excited about the trip.                               2026-09-16  0      0      -           情緒            單義
970   bored                 adj.          無聊的                                                                                                                        I am bored today.                                          2026-09-16  1      0      2026-09-17  情緒            單義
971   nervous               adj.          緊張的                                                                                                                        I am nervous about the test.                               2026-09-16  1      1      2026-09-17  情緒            單義
972   confident             adj.          有自信的                                                                                                                      She is confident in herself.                               2026-09-16  0      0      -           情緒            單義
973   Tuesday               n.            星期二                                                                                                                        I have class on Tuesday.                                   2026-09-16  1      0      2026-09-17  星期、時間      單義
974   Wednesday             n.            星期三                                                                                                                        We meet on Wednesday.                                      2026-09-16  1      0      2026-09-17  星期、時間      單義
975   Thursday              n.            星期四                                                                                                                        The test is on Thursday.                                   2026-09-16  0      0      -           星期、時間      單義
976   Saturday              n.            星期六                                                                                                                        I play on Saturday.                                        2026-09-16  1      0      2026-09-16  星期、時間      單義
977   January               n.            一月                                                                                                                          The new year starts in January.                            2026-09-16  0      0      -           月份、時間      單義
978   February              n.            二月                                                                                                                          February is short.                                         2026-09-16  0      0      -           月份、時間      單義
979   May                   n.            五月                                                                                                                          Flowers bloom in May.                                      2026-09-16  1      0      2026-09-16  月份、時間      多義
980   June                  n.            六月                                                                                                                          School ends in June.                                       2026-09-16  0      0      -           月份、時間      單義
981   September             n.            九月                                                                                                                          School starts in September.                                2026-09-16  0      0      -           月份、時間      單義
982   October               n.            十月                                                                                                                          It gets cool in October.                                   2026-09-16  1      0      2026-09-16  月份、時間      單義
983   November              n.            十一月                                                                                                                        It is cold in November.                                    2026-09-16  1      0      2026-09-16  月份、時間      單義
984   December              n.            十二月                                                                                                                        We have a party in December.                               2026-09-16  1      0      2026-09-16  月份、時間      單義
985   father                n.            爸爸、父親                                                                                                                    My father is tall.                                         2026-09-16  0      0      -           家人            單義
986   mother                n.            媽媽、母親                                                                                                                    My mother is kind.                                         2026-09-16  0      0      -           家人            單義
987   engineer              n.            工程師                                                                                                                        He is a software engineer.                                 2026-09-16  0      0      -           職業、工程師    多義
988   chef                  n.            廚師                                                                                                                          The chef cooks well.                                       2026-09-16  0      0      -           職業            單義
989   lawyer                n.            律師                                                                                                                          My aunt is a lawyer.                                       2026-09-16  1      0      2026-09-17  職業            單義
990   pilot                 n.            飛行員                                                                                                                        The pilot flies the plane.                                 2026-09-16  0      0      -           職業            多義
991   soccer                n.            足球                                                                                                                          We play soccer after school.                               2026-09-16  1      0      2026-09-17  運動            單義
992   baseball              n.            棒球                                                                                                                          He likes baseball.                                         2026-09-16  0      0      -           運動            單義
993   tennis                n.            網球                                                                                                                          I play tennis on weekends.                                 2026-09-16  0      0      -           運動            單義
994   volleyball            n.            排球                                                                                                                          They play volleyball at the beach.                         2026-09-16  1      0      2026-09-17  運動            單義
995   piano                 n.            鋼琴                                                                                                                          She plays the piano.                                       2026-09-16  0      0      -           樂器            單義
996   guitar                n.            吉他                                                                                                                          He plays the guitar.                                       2026-09-16  1      0      2026-09-17  樂器            單義
997   violin                n.            小提琴                                                                                                                        I learn the violin.                                        2026-09-16  0      1      2026-09-17  樂器            單義
998   first                 adj./adv.     第一                                                                                                                          He is the first in line.                                   2026-09-16  0      0      -           序數            單義
999   second                adj./n.       第二；秒                                                                                                                      She came in second.                                        2026-09-16  0      0      -           序數            多義
1000  third                 adj.          第三                                                                                                                          This is the third day.                                     2026-09-16  0      0      -           序數            單義
1001  under                 prep.         在…下面                                                                                                                       The cat is under the table.                                2026-09-16  1      0      2026-09-17  方位            單義
1002  behind                prep.         在…後面                                                                                                                       The car is behind the house.                               2026-09-16  1      0      2026-09-17  方位、中等字    多義
1003  between               prep.         在…之間                                                                                                                       Sit between us.                                            2026-09-16  0      0      -           方位            單義
1004  next to               prep. phr.    在…旁邊                                                                                                                       The park is next to my house.                              2026-09-16  0      1      2026-09-17  方位            單義
1005  in front of           prep. phr.    在…前面                                                                                                                       Stand in front of the door.                                2026-09-16  0      0      -           方位            單義
1006  motorcycle            n.            摩托車                                                                                                                        He rides a motorcycle.                                     2026-09-16  0      0      -           交通工具        單義
1007  subway                n.            地鐵                                                                                                                          I take the subway to work.                                 2026-09-16  1      0      2026-09-16  交通工具        單義
1008  dad                   n.            爸爸（口語，father 的口語說法）                                                                                               Dad is cooking dinner.                                     2026-09-16  0      0      -           家人            單義
1009  mom                   n.            媽媽（口語，mother 的口語說法）                                                                                               Mom is at work.                                            2026-09-16  0      1      2026-09-16  家人            單義
1010  local                 adj.          當地的、本地的                                                                                                                I shop at the local market.                                2026-09-16  1      0      2026-09-17  工程師、職場    多義
1011  clothes               n.            衣服                                                                                                                          Put on your clothes.                                       2026-09-16  0      0      -           服飾            單義
1012  t-shirt               n.            T恤                                                                                                                           He wears a blue t-shirt.                                   2026-09-16  1      0      2026-09-17  服飾            單義
1013  Yakult                n.            養樂多（日本品牌，益生菌乳酸飲料，國外通用同一個名字）                                                                        I drink a Yakult every morning.                            2026-09-16  0      0      -           -               單義
1014  laptop                n.            筆記型電腦                                                                                                                    I bring my laptop to work.                                 2026-09-16  0      0      -           工程師          單義
1015  desktop               n.            桌上型電腦                                                                                                                    The desktop is faster than my laptop.                      2026-09-16  0      0      -           工程師          多義
1016  printer               n.            印表機                                                                                                                        The printer is out of paper.                               2026-09-16  0      0      -           工程師          單義
1017  speaker               n.            喇叭、揚聲器；演講者、講者                                                                                                    Turn up the speaker.                                       2026-09-16  1      0      2026-09-17  工程師          多義
1018  headphones            n.            耳機                                                                                                                          I wear headphones at work.                                 2026-09-16  1      0      2026-09-16  工程師          單義
1019  webcam                n.            網路攝影機                                                                                                                    Turn on your webcam.                                       2026-09-16  0      0      -           工程師          單義
1020  USB                   n.            USB（隨身碟、傳輸埠的通用接頭標準）                                                                                           Plug the USB into the laptop.                              2026-09-16  0      0      -           工程師          單義
1021  wifi                  n.            無線網路                                                                                                                      Connect to the wifi.                                       2026-09-16  0      0      -           工程師          單義
1022  hard drive            n. phr.       硬碟                                                                                                                          Save the file on the hard drive.                           2026-09-16  0      0      -           工程師          單義
